Cdil,DGtr,Tag
0.0391404,-3.16864,GFP
0.153693,-2.52222,GFP
0.213608,-2.19846,GFP
0.252722,-2.117,GFP
0.412087,-2.82562,GFP
0.510264,-2.43471,GFP
0.60825,-2.4159,GFP
0.613291,-2.63893,GFP
0.667165,-2.29527,GFP
0.714011,-2.29558,mCherry
0.787175,-2.67555,GFP
0.803903,-2.32405,GFP
1.05302,-2.48182,mCherry
1.12219,-2.49974,GFP
1.13664,-2.17493,GFP
1.20594,-2.25372,GFP
1.2965,-2.40627,GFP
1.33748,-2.29736,mCherry
1.44001,-2.34576,mCherry
1.52742,-2.38486,GFP
1.59208,-2.21159,mCherry
1.67671,-2.37135,GFP
1.67686,-2.35665,mCherry
1.74057,-2.42759,GFP
1.80806,-2.16102,mCherry
1.85135,-2.41854,GFP
1.85197,-2.50825,mCherry
1.87124,-2.37691,GFP
1.87901,-2.03005,GFP
1.92188,-2.35353,GFP
1.98246,-1.9822,mCherry
1.98659,-2.24606,GFP
2.01027,-2.15458,GFP
2.0365,-2.11325,mCherry
2.07066,-2.63991,GFP
2.12361,-2.08013,mCherry
2.2335,-2.18526,mCherry
2.29274,-2.10787,mCherry
2.31531,-2.27972,mCherry
2.32765,-2.29025,GFP
2.44995,-2.44641,GFP
2.53058,-2.13542,mCherry
2.5982,-2.29171,GFP
2.82472,-2.26968,GFP
2.86831,-2.13303,GFP
2.8711,-2.27472,mCherry
2.95517,-2.14332,GFP
3.02943,-2.11789,mCherry
3.06346,-2.15559,GFP
3.07909,-2.06616,GFP
3.12204,-2.07521,GFP
3.13171,-2.03541,mCherry
3.25271,-2.31282,GFP
3.26931,-2.42543,GFP
3.31217,-2.17684,GFP
3.3255,-2.07626,GFP
3.33106,-2.23781,mCherry
3.34727,-2.02596,GFP
3.39945,-2.28713,mCherry
3.47432,-2.13573,mCherry
3.48768,-2.34652,GFP
3.54684,-2.15322,GFP
3.54729,-2.37199,GFP
3.62331,-2.05136,mCherry
3.71057,-2.01984,GFP
3.79125,-2.28466,GFP
3.956,-2.161,mCherry
4.13323,-2.19719,mCherry
4.1698,-2.26042,GFP
4.18029,-2.22523,GFP
4.23885,-2.33523,GFP
4.30417,-2.21011,mCherry
4.36881,-2.04092,mCherry
4.41013,-2.14697,GFP
4.46675,-2.02583,mCherry
4.51829,-2.05799,mCherry
4.75833,-1.95976,mCherry
4.86527,-1.9501,GFP
4.87001,-2.20839,GFP
4.91783,-1.84553,mCherry
5.03277,-1.58178,mCherry
5.15297,-1.60289,mCherry
5.1703,-2.0614,GFP
5.39451,-2.1137,GFP
5.70006,-2.03429,GFP
5.86612,-2.07008,mCherry
5.91199,-1.94504,mCherry
5.98036,-1.79624,mCherry
6.27288,-2.21285,GFP
6.32906,-2.16295,GFP
6.36376,-1.8884,mCherry
6.45557,-1.96332,GFP
6.50475,-2.02197,GFP
6.56621,-1.881,GFP
6.60184,-1.93503,GFP
6.62724,-2.06361,GFP
6.68973,-2.03241,GFP
6.71339,-2.12292,GFP
6.7986,-1.92295,GFP
7.06809,-2.42612,GFP
7.20822,-2.0456,mCherry
7.21576,-1.63157,mCherry
7.31807,-2.13262,GFP
7.55969,-2.03229,GFP
7.82278,-1.5433,mCherry
7.84695,-1.86543,mCherry
8.09638,-1.91646,GFP
8.15758,-1.97501,GFP
8.29229,-1.66458,mCherry
8.34572,-1.9266,mCherry
8.4882,-1.86759,mCherry
8.52549,-1.69139,mCherry
8.79246,-1.94525,GFP
8.83144,-1.58429,mCherry
9.10297,-1.9016,GFP
9.27402,-1.47094,mCherry
10.031,-1.68272,mCherry
10.4907,-1.67932,mCherry
10.7846,-1.85676,GFP
11.6527,-1.71338,mCherry
11.7714,-1.78466,mCherry
12.293,-1.6755,mCherry
12.4053,-1.67725,mCherry
12.5907,-1.5122,mCherry
12.7946,-1.73456,mCherry
13.0409,-1.66182,mCherry
14.7124,-1.51382,mCherry
15.2914,-1.36782,mCherry
15.6894,-1.44654,mCherry
15.8316,-1.44529,mCherry
16.0151,-1.32648,mCherry
16.3182,-1.48861,mCherry
16.6498,-1.41914,mCherry
16.7954,-1.58924,mCherry
19.1552,-1.38089,mCherry
19.3422,-1.40306,mCherry
19.9791,-1.47412,mCherry
21.5103,-1.4351,mCherry
22.4115,-1.31406,mCherry
22.5348,-1.40559,mCherry
23.7329,-1.18788,mCherry
24.2346,-1.33812,mCherry
24.8276,-1.15907,mCherry
25.19,-1.20111,mCherry
29.1053,-1.19424,mCherry
32.8682,-1.09181,mCherry
36.3952,-1.11212,mCherry
36.7037,-1.11886,mCherry
36.7771,-1.12998,mCherry
45.346,-0.996952,mCherry
